,listing_url,listing_id,listing_price_int,comparable_sold_price_1_int,comparable_sold_price_2_int,comparable_sold_price_3_int,comparable_sold_price_4_int,comparable_sold_price_5_int,main_rooms,additional_rooms,total_rooms,parking_spaces,main_kitchen,additional_kitchen,total_kitchens,comparable_sold_date_1_datetime,comparable_sold_date_2_datetime,comparable_sold_date_3_datetime,comparable_sold_date_4_datetime,comparable_sold_date_5_datetime,extras_fridge,extras_stove,extras_stainless_steel,extras_pool,extras_gym,extras_storage,extras_locker,extras_gas,extras_dishwasher,features_view,features_park,features_public_transit,features_basementbrick,features_concrete_exterior,features_hospital,features_library,listing_description_length,postal_code_principal_component,community_principal_component,1 1/2 Storey,2 1/2 Storey,2-Storey,3-Storey,Apartment,Bachelor/Studio,Backsplit 3,Backsplit 4,Backsplit 5,Bungaloft,Bungalow,Bungalow-Raised,Loft,Multi-Level,Sidesplit 3,Sidesplit 4,Sidesplit 5,Stacked Townhse,OFFICE,FAMILY ROOM,DINING ROOM,DEN,REC,FOYER,2ND BEDROOM,BATHROOM,BATHROOMS,LIBRARY,EXERCISE,KITCHEN,LIVING ROOM,MASTER BEDROOM,STUDY,4TH BEDROOM,3RD BEDROOM,OTHER,5TH BEDROOM,SUNROOM,GREAT ROOM,LAUNDRY,SITTING,SOLARIUM,LOCKER,BEDROOM,BREAKFAST,MEDIA/ENT,UTILITY,UTILITY sqft,MEDIA/ENT sqft,BREAKFAST sqft,BEDROOM sqft,LOCKER sqft,SOLARIUM sqft,SITTING sqft,LAUNDRY sqft,GREAT ROOM sqft,SUNROOM sqft,5TH BEDROOM sqft,OTHER sqft,3RD BEDROOM sqft,4TH BEDROOM sqft,STUDY sqft,MASTER BEDROOM sqft,LIVING ROOM sqft,KITCHEN sqft,EXERCISE sqft,LIBRARY sqft,2ND BEDROOM sqft,FOYER sqft,REC sqft,DEN sqft,DINING ROOM sqft,FAMILY ROOM sqft,OFFICE sqft,total_room_sqft
761,https://toronto.listing.ca/205-wynford-dr-407.C4263443.htm#15-2mj,4263443,559000.0,577000.0,655000.0,550000.0,695000.0,610000.0,6.0,0.0,6.0,1.0,1.0,0.0,1.0,1.4172769356679e+16,1.1148769675465e+16,1.7715169986633e+16,1.9356770306531e+16,2.4454370615186e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,449.0,-0.04707750630745391,-0.034571442286650926,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0.0,0.0,0.0,15.087499999999999,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.182,11.25,0.0,0.0,9.375,0.0,0.0,0.0,33.182,0.0,0.0,110.5765
762,https://toronto.listing.ca/118-merchants-wharf-ph12.C4314000.htm#15-2do,4314000,6450000.0,807500.0,829110.0,845000.0,825000.0,2025000.0,5.0,1.0,6.0,1.0,1.0,0.0,1.0,1.5727969356691e+16,2.791036967549e+16,3.1366369986645e+16,3.3958370306543e+16,1.2099170615198e+16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,452.0,-0.05067473532630103,-0.03557409534756872,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,0.0,0.0,16.680500000000002,35.6535,26.4603,0.0,0.0,16.2306,22.0908,0.0,8.140500000000001,36.168,0.0,0.0,173.10420000000002
763,https://toronto.listing.ca/90-fisherville-rd-1206.C4342011.htm#15-1qb,4342011,524900.0,593000.0,403000.0,450000.0,475000.0,440000.0,5.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0025569356703e+16,1.2185569675502e+16,1.2790369986656e+16,4927970306555000.0,5359970615210000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,455.0,-0.04951705665373977,-0.03620413651557256,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,9.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.087500000000002,25.125,11.880000000000003,0.0,0.0,12.149999999999999,0.0,0.0,0.0,16.060000000000002,0.0,0.0,96.7525
764,https://toronto.listing.ca/2901-kipling-ave-1203.W4331757.htm#15-244,4331757,419000.0,350000.0,340000.0,330300.0,355000.0,332000.0,5.0,1.0,6.0,2.0,1.0,0.0,1.0,1.0457569356715e+16,1.4345569675514e+16,1.9270369986668e+16,2.1775970306567e+16,2.4367970615222e+16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,256.0,-0.04582402346202027,-0.03557400067291597,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,17.919999999999998,18.15,0.0,0.0,9.0,0.0,0.0,2.9250000000000003,7.359999999999999,0.0,0.0,73.955
765,https://toronto.listing.ca/238-albion-rd-ph1.W4305053.htm#15-2gf,4305053,388888.0,260000.0,238000.0,252500.0,240000.0,230000.0,5.0,0.0,5.0,1.0,1.0,0.0,1.0,1.6419169356727e+16,7433569675525000.0,3.283516998668e+16,1.0371170306579e+16,1.4345570615234e+16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,352.0,-0.04786305924589227,-0.04217249239655432,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.924,10.5932,8.6106,0.0,0.0,10.0464,0.0,0.0,0.0,10.5932,0.0,0.0,62.067400000000006
766,https://toronto.listing.ca/65-st-mary-st-3001.C4311582.htm#15-25u,4311582,699000.0,752000.0,608000.0,670000.0,660000.0,608900.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,1.1580769356739e+16,1.2271969675537e+16,1.3308769986692e+16,1.4172770306591e+16,2.1171170615246e+16,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,453.0,0.9364235038619191,-0.13504544559313086,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
767,https://toronto.listing.ca/9-bogert-ave-707.C4361216.htm#15-jz,4361216,796000.0,740000.0,679500.0,818000.0,800000.0,760000.0,6.0,0.0,6.0,1.0,1.0,0.0,1.0,9161569356750000.0,1.1148769675549e+16,1.4691169986704e+16,1.6851170306603e+16,6742370615258000.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,458.0,-0.048952494925598174,-0.038717414879239374,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.023499999999999,18.4408,7.571,0.0,0.0,8.357,0.0,0.0,3.6234,18.4408,0.0,0.0,69.45649999999999
768,https://toronto.listing.ca/259-dovercourt-rd.C4358602.htm#15-sf,4358602,1630000.0,1805000.0,1227000.0,1325000.0,1685000.0,1918000.0,6.0,2.0,8.0,0.0,1.0,0.0,1.0,1.2876769356762e+16,2.0566369675561e+16,1.2876769986716e+16,1.6678370306615e+16,1.175357061527e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,424.0,-0.048131474643352226,0.9319406158262359,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.514,0.0,0.0,0.0,0.0,10.6392,0.0,0.0,26.2575,13.37,11.325600000000001,0.0,0.0,11.052,0.0,0.0,0.0,10.305599999999998,56.7675,0.0,148.2314
769,https://toronto.listing.ca/21-carlton-st-201.C4320542.htm#15-2au,4320542,679900.0,580000.0,638000.0,649000.0,631000.0,541000.0,4.0,1.0,5.0,1.0,1.0,0.0,1.0,1.1753569356774e+16,5359969675572000.0,2.7478369986727e+16,3.1625570306627e+16,3.2662370615282e+16,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,455.0,-0.21087981719856208,0.9319406158262359,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8112,22.365,7.0265,0.0,0.0,0.0,0.0,0.0,4.9128,22.365,0.0,0.0,73.48049999999999
770,https://toronto.listing.ca/38-lee-centre-dr-th127.E4316855.htm#15-2cl,4316855,499000.0,506000.0,499900.0,505000.0,480000.0,335000.0,5.0,0.0,5.0,1.0,1.0,0.0,1.0,1.9011169356785e+16,2.9119969675584e+16,3.2835169986739e+16,3.2057570306639e+16,3.2057570615294e+16,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,378.0,-0.0643222176921957,-0.04275380948263333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.784,9.75,6.170999999999999,0.0,0.0,8.26,0.0,0.0,0.0,9.344999999999999,0.0,0.0,48.31
